                Step              Time(s)             TStep(s)         NACTClusters         TotalCluster           TotalAtoms       NUM_ACTIVEFREE       NUM_ACTIVEINGB      NUM_OUT_DESTROY       NUM_EXP_DESTRO      NUM_MIS_DESTROY         NUM_ABSORBED       NUM_ANNIHILATE      RMIN_ACTIVEFREE      RMIN_ACTIVEINGB     RMIN_OUT_DESTROY      RMIN_EXP_DESTRO     RMIN_MIS_DESTROY        RMIN_ABSORBED      RMIN_ANNIHILATE      RMAX_ACTIVEFREE      RMAX_ACTIVEINGB     RMAX_OUT_DESTROY      RMAX_EXP_DESTRO     RMAX_MIS_DESTROY        RMAX_ABSORBED      RMAX_ANNIHILATE                 RAVE                 NAVA          Concentrate         TotalImplant      ACUM_ACTIVEFREE      ACUM_ACTIVEINGB     ACUM_OUT_DESTROY      ACUM_EXP_DESTRO     ACUM_MIS_DESTROY        ACUM_ABSORBED      ACUM_ANNIHILATE
                   0       0.00000000E+00       0.00000000E+00                24320                24320                30528                24320                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       3.76914905E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.55868745E-01       1.25526316E+00       1.19834019E+17                    0                24320                    0                    0                    0                    0                    0                    0
                   5       1.20000000E-12       9.59999706E-14                23757                24320                30327                23757                    0                    0                    0                    0                  439                  124       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.57550000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56112352E-01       1.26160711E+00       1.17059901E+17                    0                23757                    0                    0                    0                    0                  439                  124
                  10       2.58000004E-12       2.76000007E-13                23311                24320                30155                23311                    0                    0                    0                    0                  763                  246       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.57550000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56273841E-01       1.26772768E+00       1.14862287E+17                    0                23311                    0                    0                    0                    0                  763                  246
                  11       2.60000000E-12       1.99999632E-14                23284                24320                30149                23284                    0                    0                    0                    0                  782                  254       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.57550000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56284862E-01       1.26816698E+00       1.14729248E+17                    0                23284                    0                    0                    0                    0                  782                  254
                  19       4.70000000E-12       1.67999949E-13                22686                24320                29777                22686                    0                    0                    0                    0                 1214                  420       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.57550000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56443950E-01       1.27453055E+00       1.11782671E+17                    0                22686                    0                    0                    0                    0                 1214                  420
                  20       4.97600001E-12       2.76000007E-13                22589                24320                29719                22589                    0                    0                    0                    0                 1279                  452       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.57550000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56458856E-01       1.27557661E+00       1.11304715E+17                    0                22589                    0                    0                    0                    0                 1279                  452
                  30       7.73600008E-12       2.76000007E-13                21981                24320                29227                21981                    0                    0                    0                    0                 1719                  620       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56552410E-01       1.28010555E+00       1.08308864E+17                    0                21981                    0                    0                    0                    0                 1719                  620
                  38       9.90000000E-12       2.31999868E-13                21566                24320                28947                21566                    0                    0                    0                    0                 2018                  736       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56620368E-01       1.28368729E+00       1.06263999E+17                    0                21566                    0                    0                    0                    0                 2018                  736
                  40       1.04520000E-11       2.76000007E-13                21491                24320                28875                21491                    0                    0                    0                    0                 2074                  755       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56633626E-01       1.28425853E+00       1.05894445E+17                    0                21491                    0                    0                    0                    0                 2074                  755
                  50       1.32120001E-11       2.76000007E-13                21109                24320                28583                21109                    0                    0                    0                    0                 2355                  856       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.21167909E-01       2.36811122E-01       1.56648369E-01       1.28627600E+00       1.04012184E+17                    0                21109                    0                    0                    0                    0                 2355                  856
                  60       1.59720002E-11       2.76000007E-13                20754                24320                28260                20754                    0                    0                    0                    0                 2619                  947       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.36811122E-01       1.56675920E-01       1.28775176E+00       1.02262962E+17                    0                20754                    0                    0                    0                    0                 2619                  947
                  70       1.87320002E-11       2.76000007E-13                20412                24320                27963                20412                    0                    0                    0                    0                 2862                 1046       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.36811122E-01       1.56716332E-01       1.29002548E+00       1.00577796E+17                    0                20412                    0                    0                    0                    0                 2862                 1046
                  80       2.14920003E-11       2.76000007E-13                20166                24320                27710                20166                    0                    0                    0                    0                 3040                 1114       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.36811122E-01       1.56734760E-01       1.29118318E+00       9.93656591E+16                    0                20166                    0                    0                    0                    0                 3040                 1114
                  90       2.42520004E-11       2.76000007E-13                19942                24320                27532                19942                    0                    0                    0                    0                 3203                 1175       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56767498E-01       1.29274897E+00       9.82619247E+16                    0                19942                    0                    0                    0                    0                 3203                 1175
                 100       2.70120005E-11       2.76000007E-13                19754                24320                27347                19754                    0                    0                    0                    0                 3340                 1226       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56796270E-01       1.29391516E+00       9.73355762E+16                    0                19754                    0                    0                    0                    0                 3340                 1226
                 110       2.97720005E-11       2.76000007E-13                19568                24320                27141                19568                    0                    0                    0                    0                 3468                 1284       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56794190E-01       1.29456255E+00       9.64190825E+16                    0                19568                    0                    0                    0                    0                 3468                 1284
                 120       3.25320006E-11       2.76000007E-13                19411                24320                26982                19411                    0                    0                    0                    0                 3582                 1327       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56816924E-01       1.29534800E+00       9.56454830E+16                    0                19411                    0                    0                    0                    0                 3582                 1327
