                          IBox                           NSIA                           NVAC            CascadeCenter_X(LU)            CascadeCenter_Y(LU)            CascadeCenter_Z(LU)       maxVACDistanceToCent(LU)       RSIADistributeToCent(LU)           ROutAbsorbToCent(LU)
                             1                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                             2                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                             3                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                             4                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                             5                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                             6                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                             7                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                             8                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                             9                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            10                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            11                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            12                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            13                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            14                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            15                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            16                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            17                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            18                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            19                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            20                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            21                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            22                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            23                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            24                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            25                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            26                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            27                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            28                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
                            29                          10000                             40              -3.1880845138E-01               1.7697466793E+01              -1.3977749725E+01               2.2198896072E+01               1.0000000000E+02               2.0000000000E+02
