&BOXOKMC18
&VERSION                     2020_06_07

&UDEFSECTION
&BATCHNUM  3
&ENDUDEFSECTION


&TIME           (in s)      0.0000000E+00
&ISTEP                      0
&TSTEP           (in s)      0.0000000E+00
&IPATCH                     1
&ITIMESECTION               1
 
&LATT     lattice length(in A):      3.1652000E+00
&BOXLOW                (in LU):    -1.00000000E+02  -1.00000000E+02  -1.00000000E+02
&BOXSIZE               (in LU):    2.00000000E+02   2.00000000E+02   2.00000000E+02
&NGRAIN        0
!                Seed ID          x(LU)          y(LU)          z(LU)
&BOXSEINDEX                IBox      SEUsedIndexFrom        SEUsedIndexTo      SEExpdIndexFrom        SEExpdIndexTo   SEVirtualIndexFrom     SEVirtualIndexTo
&BOXSEDATA                    1                    1                   40                    1                   40                    1                   40
&BOXSEDATA                    2                   41                   73                   41                   73                   41                   73
&BOXSEDATA                    3                   74                  108                   74                  108                   74                  108
&BOXSEDATA                    4                  109                  135                  109                  135                  109                  135
&BOXSEDATA                    5                  136                  162                  136                  162                  136                  162
&BOXSEDATA                    6                  163                  188                  163                  188                  163                  188
&BOXSEDATA                    7                  189                  212                  189                  212                  189                  212
&BOXSEDATA                    8                  213                  248                  213                  248                  213                  248
&BOXSEDATA                    9                  249                  270                  249                  270                  249                  270
&BOXSEDATA                   10                  271                  308                  271                  308                  271                  308
&BOXSEDATA                   11                  309                  345                  309                  345                  309                  345
&BOXSEDATA                   12                  346                  377                  346                  377                  346                  377
&BOXSEDATA                   13                  378                  405                  378                  405                  378                  405
&BOXSEDATA                   14                  406                  433                  406                  433                  406                  433
&BOXSEDATA                   15                  434                  472                  434                  472                  434                  472
&BOXSEDATA                   16                  473                  495                  473                  495                  473                  495
&BOXSEDATA                   17                  496                  516                  496                  516                  496                  516
&BOXSEDATA                   18                  517                  549                  517                  549                  517                  549
&BOXSEDATA                   19                  550                  573                  550                  573                  550                  573
&BOXSEDATA                   20                  574                  597                  574                  597                  574                  597
&BOXSEDATA                   21                  598                  623                  598                  623                  598                  623
&BOXSEDATA                   22                  624                  652                  624                  652                  624                  652
&BOXSEDATA                   23                  653                  685                  653                  685                  653                  685
&BOXSEDATA                   24                  686                  705                  686                  705                  686                  705
&BOXSEDATA                   25                  706                  741                  706                  741                  706                  741
&BOXSEDATA                   26                  742                  767                  742                  767                  742                  767
&BOXSEDATA                   27                  768                  798                  768                  798                  768                  798
&BOXSEDATA                   28                  799                  822                  799                  822                  799                  822
&BOXSEDATA                   29                  823                  853                  823                  853                  823                  853
&BOXSEDATA                   30                  854                  886                  854                  886                  854                  886
&BOXSEDATA                   31                  887                  927                  887                  927                  887                  927
&BOXSEDATA                   32                  928                  942                  928                  942                  928                  942
&BOXSEDATA                   33                  943                  978                  943                  978                  943                  978
&BOXSEDATA                   34                  979                 1004                  979                 1004                  979                 1004
&BOXSEDATA                   35                 1005                 1028                 1005                 1028                 1005                 1028
&BOXSEDATA                   36                 1029                 1072                 1029                 1072                 1029                 1072
&BOXSEDATA                   37                 1073                 1109                 1073                 1109                 1073                 1109
&BOXSEDATA                   38                 1110                 1152                 1110                 1152                 1110                 1152
&BOXSEDATA                   39                 1153                 1175                 1153                 1175                 1153                 1175
&BOXSEDATA                   40                 1176                 1215                 1176                 1215                 1176                 1215
